,tokens,tone,word,word1
0,우리 강아지 애기 자꾸 내밀어서 충치 구강 구조 문제 있으면 밀고 있는대서 덜덜 떨면서 병원 갔는데 그냥 길대 길어서 가끔 아니고 자주 넣는거래 애기 꾸준히,0,"['우리', '강아지', '애기', '자꾸', '내밀', '어서', '충치', '구강', '구조', '문제', '있', '으면', '밀', '고', '있', '는대서', '덜덜', '떨', '면서', '병원', '갔', '는데', '그냥', '길', '대', '길', '어서', '가끔', '아니', '고', '자주', '넣', '는', '거래', '애기', '꾸준히']","[84, 1869, 1533, 1803, 2624, 113, 2625, 2626, 147, 201, 4, 114, 484, 3, 4, 2627, 2628, 853, 98, 436, 308, 13, 359, 214, 109, 214, 113, 1735, 53, 3, 1142, 542, 2, 2443, 1533, 2629]"
1,서울 되련 뭣같 이돈 뭣같 지옥런 새끼 뭣같 산불 보러 간다 했으면서 멀쩡한 컨트롤 타워 버리고 침수 궁댕 뭉개 있던 새끼 뭣같음,-3,"['서울', '되', '련', '뭣', '같', '이', '돈', '뭣', '같', '지옥', '런', '새끼', '뭣', '같', '산불', '보', '러', '간다', '했', '으면서', '멀쩡', '한', '컨트롤', '타워', '버리', '고', '침수', '궁', '댕', '뭉개', '있', '던', '새끼', '뭣', '같', '음']","[22, 9, 854, 247, 30, 24, 609, 247, 30, 930, 282, 186, 247, 30, 23, 31, 290, 449, 7, 198, 363, 25, 736, 855, 679, 3, 6, 948, 949, 856, 4, 16, 186, 247, 30, 41]"
2,지형 높아서 침수 되고 오고 여름 덥고 하아,-2,"['지형', '높', '아서', '침수', '되', '고', '오', '고', '여름', '덥', '고', '하', '아']","[2630, 1278, 329, 6, 9, 3, 104, 3, 248, 2320, 3, 1, 74]"
3,진짜 살다 살다 재난 상황 어떻게 복구 다음 재난 어떻게 대비 할지 대한 뉴스 아니라 재난 상황 대처 하느라 대통령 넘어 퇴근 했다 뉴스 야하는,0,"['진짜', '살', '다', '살', '다', '재난', '상황', '어떻게', '복구', '다음', '재난', '어떻게', '대비', '할지', '대한', '뉴스', '아니', '라', '재난', '상황', '대처', '하', '느라', '대통령', '넘', '어', '퇴근', '했', '다', '뉴스', '야', '하', '는']","[61, 168, 10, 168, 10, 37, 40, 374, 67, 44, 37, 374, 445, 549, 680, 32, 53, 375, 37, 40, 195, 1, 765, 75, 206, 11, 70, 7, 10, 32, 190, 1, 2]"
4,여러분 대구 날씨 어떤 가요 여기 하늘 뚫린 같은데 지방 폭염 주의보 믿기지가 않어요,-2,"['여러분', '대구', '날씨', '어떤', '가요', '여기', '하늘', '뚫린', '같', '은데', '지방', '폭염', '주의보', '믿기', '지', '가', '않', '어요']","[156, 1601, 159, 204, 986, 153, 737, 1804, 30, 141, 76, 27, 243, 1805, 14, 29, 46, 82]"
5,과거 이돈 시절 강남역 호우 인해 진흥 아파트 인도 행인 감전사 하는 사고 보도 되자 진흥 아파트 주민 집값 떨어진다고 하며 민원 넣는 바람 기사 삭제 되었던 기억 있슴 덕분 상황 여전히 반복,0,"['과거', '이', '돈', '시절', '강남역', '호우', '인해', '진흥', '아파트', '인도', '행인', '감전사', '하', '는', '사고', '보도', '되', '자', '진흥', '아파트', '주민', '집값', '떨어진다고', '하', '며', '민원', '넣', '는', '바람', '기사', '삭제', '되', '었', '던', '기억', '있', '슴', '덕분', '상황', '여전히', '반복']","[543, 24, 609, 268, 192, 59, 1665, 2183, 216, 3093, 3094, 3095, 1, 2, 403, 1143, 9, 215, 2183, 216, 344, 664, 665, 1, 210, 3096, 542, 2, 1358, 404, 2631, 9, 12, 16, 116, 4, 2632, 45, 40, 1316, 681]"
6,폭우 골목 쓰레기 수거 되었고 우편물 택배 왔고 지하철 역사 청소 되었다 익명 노동 새벽 전화 돌렸다는 통곡 반지하 노란 점퍼 입고 홍보 사진 찍었다 약자,-2,"['폭우', '골목', '쓰레기', '수거', '되', '었', '고', '우편물', '택배', '왔', '고', '지하철', '역사', '청소', '되', '었', '다', '익명', '노동', '새벽', '전화', '돌렸', '다는', '통곡', '반지하', '노란', '점퍼', '입', '고', '홍보', '사진', '찍', '었', '다', '약자']","[5, 469, 173, 527, 9, 12, 3, 528, 442, 264, 3, 135, 470, 273, 9, 12, 10, 465, 529, 275, 286, 291, 142, 530, 170, 287, 531, 172, 3, 432, 48, 99, 12, 10, 471]"
7,단독 갓세븐 박진영 폭우 피해 복구 위해 만원 기부 선한 영향력 뉴스 사진 출처 엔터테인먼트 뉴스 진영 박진영,-1,"['단독', '갓', '세븐', '박진영', '폭우', '피해', '복구', '위해', '만', '원', '기부', '선', '한', '영향력', '뉴스', '사진', '출처', '엔터', '테', '인', '먼', '트', '뉴스', '진영', '박진영']","[292, 350, 321, 157, 5, 17, 67, 151, 138, 179, 241, 422, 25, 423, 32, 48, 245, 424, 405, 57, 425, 269, 32, 298, 157]"
8,메이사 노래 전주 밤공 커튼 제이 어스 이승준 승준 오늘 공연 화이팅 하세용 어제 승준 덕분 말로 표현 하지 만큼 진짜 행복했어,1,"['메이사', '노래', '전주', '밤', '공', '커튼', '제이', '어스', '이승준', '승준', '오늘', '공연', '화이팅', '하세용', '어제', '승준', '덕분', '말', '로', '표현', '하', '지', '만큼', '진짜', '행복', '했', '어']","[2184, 497, 1534, 1870, 2185, 1495, 2186, 2187, 2188, 1455, 35, 1359, 2189, 2190, 92, 1455, 45, 912, 120, 1414, 1, 14, 1317, 61, 315, 7, 11]"
9,하미 존나 기여 우어 휴닝 카이 미세먼지 외치는 와중 최수빈 귀마개 촉감,-3,"['하미', '존나', '기여', '우어', '휴', '닝', '카이', '미세먼지', '외치', '는', '와중', '최', '수빈', '귀마개', '촉감']","[85, 78, 86, 87, 72, 73, 79, 36, 88, 2, 68, 89, 81, 90, 91]"
